Topic,Titles,Question,OptionA,OptionB,OptionC,OptionD,Answer
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Where is the sludge at the bottom of the clarifier processed to?,Settling unit,Aerator,Flocculation unit,Disinfection unit,Aerator
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Which of these is not an alternative to activated sludge treatment systems?,Stabilization ponds,Rotating biological reactors,Trickling filter,Screening units,Screening units
Waste Water Engineering,Activated Sludge Treatment Systems – 1,"An activated sludge system consists of two components, an aerator and ________",Screening units,Disinfection unit,Flocculation unit,Clarifier,Clarifier
Waste Water Engineering,Activated Sludge Treatment Systems – 1,How is air pumped in the aerator unit?,Bubbled from bottom,Sides,Bubbled from top,Sprayed,Bubbled from bottom
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Which are the three ingredients in activated sludge systems?,"Cells, sewage and oxygen","Cells, sewage and nitrogen","Solids, sewage and oxygen","Solids, water and oxygen","Cells, sewage and oxygen"
Waste Water Engineering,Activated Sludge Treatment Systems – 1,Mechanical stirring can be done instead of injection of air from the bottom.,True,False,Null,Null,True
Waste Water Engineering,Activated Sludge Treatment Systems – 1,The sludge particles concentration is increased by the growth of the organism in aeration tanks.,True,False,Null,Null,False
Waste Water Engineering,Activated Sludge Treatment Systems – 1,The organisms feed on _____ in aeration tanks.,Water,Air,Sludge particles,Bacteria,Sludge particles
Waste Water Engineering,UASB Reactor – 2,What is the temperature which should not be exceeded for the reaction?,20˚C,32˚C,38˚C,45˚C,38˚C
Waste Water Engineering,UASB Reactor – 2,What is the minimum influent COD load beneficial for the process?,100 mg COD/Lm,200 mg COD/Lm,250 mg COD/Lm,350 mg COD/Lm,250 mg COD/Lm
Waste Water Engineering,UASB Reactor – 2, What is the minimum hydraulic retention time for UASB?,1 hour,2 hour,3 hour,4 hour,2 hour
Waste Water Engineering,UASB Reactor – 2,What is the COD loading rate assumed for an Up flow anaerobic sludge blanket (UASB)?,4-12 Kg COD/m3,12-20  Kg COD/m3,2-4  Kg COD/m3,20-25  Kg COD/m3,4-12 Kg COD/m3
Waste Water Engineering,UASB Reactor – 2,What is the upflow velocity considered for a UASB while treating 100% soluble COD?,1-3 m/h,4-6 m/h,6-8 m/h,8-10 m/h,1-3 m/h
Waste Water Engineering,UASB Reactor – 2,What is the upflow velocity considered for a UASB while treating partially soluble COD?,1-1.25 m/h,1.5-2 m/h,2-3 m/h,3-4 m/h,1-1.25 m/h
Waste Water Engineering,UASB Reactor – 2,What is the upflow velocity considered for an UASB while treating domestic waste water?,1-2 m/h,2-3 m/h,0.8-1 m/h,3-4 m/h,0.8-1 m/h
Waste Water Engineering,UASB Reactor – 2,What is the retention time considered for an UASB while designing at 16-19 degree Celsius?,3-5 h,10-14 h,22 h,18 h,10-14 h
Waste Water Engineering,UASB Reactor – 2,What is the retention time considered for an UASB while designing at 22-26 degree Celsius?,3-5 h,10-14 h,7-9 h,10-12 h,7-9 h
Waste Water Engineering,UASB Reactor – 2,What is the retention time considered for an UASB while designing at > 26 degree Celsius?,3-5 h,10-14 h,7-9,6-8,6-8
Waste Water Engineering,UASB Reactor – 2,Calculate the volume for the UASB with the following details. Flow: 120m3/h COD: 350 mg/L UASB load considered: 6 Kg COD/ m3 ,7 m3,8 m3,8.5 m3,9 m3,7 m3
Waste Water Engineering,UASB Reactor – 2,Calculate the volume for the UASB with the following details. Flow: 240m3/h COD: 350 mg/L UASB load considered: 8 Kg COD/ m3 ,7.5 m3,8.0 m3,10.5 m3,9.5 m3,10.5 m3
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,Where did the research on reverse osmosis begin?,University of Bangalore,University of Florida,University of Columbia,University of California,University of Florida
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the membrane that selectively allows certain species to pass through called?,Permeable membrane,Semi-permeable membrane,Impermeable membrane,Membrane,Semi-permeable membrane
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,"In RO, the solvent passes through the membrane at a much faster rate than the dissolved solids.",True,False,Null,Null,True
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,Which of the following membrane is used in osmosis process?,Impermeable membrane,Semi-permeable membrane,Permeable membrane,Non-porous membrane,Semi-permeable membrane
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,The chlorine resistant polyamide membranes are prepared from aliphatic polypiperazine amides.,True,False,Null,Null,True
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,Which of the following materials is not used in the preparation of nanocomposite support membranes?,Silica (50 nm),Zeolite (250 nm),Silica (120 nm),Zinc (135 nm),Zinc (135 nm)
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the pore size of LTA-type zeolite nanoparticle?,0.2 nm,0.4 nm,0.6 nm,0.8 nm,0.4 nm
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the pore size of MFI-type zeolite nanoparticle?,0.32 nm,0.48 nm,0.56 nm,0.62 nm,0.56 nm
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the material used in the making of NS-200 membrane?,Sulphonated polyfuran,Sulphonated polysulphone,Polypiperazine-amide,Aromatic polyamide,Sulphonated polyfuran
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the material used in the making of BARC-TFC2 membrane?,Aromatic polyamide,Polyamide,Sulphonated polyfuran,Sulphonated polysulphone,Polyamide
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the percentage of salt rejection of NS-100 RO membrane?,99.8%,99 %,98.5 %,97 %,99 %
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,Which among the following has the highest percentage of salt rejection?,NS-100,NS-200,NS-300,CP,NS-200
Waste Water Engineering,Reverse Osmosis Membrane Properties – 1,What is the permeate flux of the RO membrane FT-30?,0.5,0.8,1,1.2,1
Waste Water Engineering,Total Dissolved Solids – 2,What is the process by which Total dissolved solids is removed?,Reverse Osmosis,Ultrafiltration,Adsorption,Clarification,Reverse Osmosis
Waste Water Engineering,Total Dissolved Solids – 2,What is the limit of total dissolved solids in treated water which is to be used for the gardening purpose?,1200 mg/L,1100 mg/L,1000 mg/L,500 mg/L,1200 mg/L
Waste Water Engineering,Total Dissolved Solids – 2,What is the percentage of TDS removed by the reverse osmosis membrane?,97-99%,50-60%,60-70%,70-90%,97-99%
Waste Water Engineering,Total Dissolved Solids – 2,What is the flux assumed while designing the reverse osmosis system to treat surface water?,3-10 LMH,14-28 LMH,28-32 LMH,32-40 LMH,14-28 LMH
Waste Water Engineering,Total Dissolved Solids – 2,What is the flux assumed while designing the reverse osmosis system to treat well water?,3-10 LMH,13-23 LMH,24-30 LMH,30-35 LMH,24-30 LMH
Waste Water Engineering,Total Dissolved Solids – 2,What is the flux assumed while designing the reverse osmosis system to treat RO permeate?,3-10 LMH,13-20 LMH,23-30 LMH,34-50 LMH,34-50 LMH
Waste Water Engineering,Total Dissolved Solids – 2,What is the % flux decline per year assumed while designing the reverse osmosis system for treating surface water?,7.3-9.9,9.9-11.2,11.2-14,14-16,7.3-9.9
Waste Water Engineering,Total Dissolved Solids – 2,What is the % flux decline per year assumed while designing the reverse osmosis system for treating well water?,4.4-7.3,8.5-11.5,12-15,15-18,4.4-7.3
Waste Water Engineering,Total Dissolved Solids – 2,What is the % flux decline per year assumed while designing the reverse osmosis system for treating RO permeate water?,2.3-4.4,4.4-7.3,7.3-9.9,12-16,2.3-4.4
Waste Water Engineering,Total Dissolved Solids – 2,What is the limit of LSI assumed while designing the reverse osmosis system without scale inhibitor?,<0.2,0.5-1,1-2,2-4,<0.2
Waste Water Engineering,Sand Filters – 1,What is the size of the small rapid sand filter bed?,50 sqm,80 sqm,100 sqm,120 sqm,100 sqm
Waste Water Engineering,Sand Filters – 1,Pre-treatment of beds is not necessary.,True,False,Null,Null,False
Waste Water Engineering,Sand Filters – 1,What is the percentage of bacterial removal in filter beds?,60-70 %,75-80 %,80-90 %,90-99 %,90-99 %
Waste Water Engineering,Sand Filters – 1,What is the effective size of sand used in rapid sand filters?,0.2-0.3 mm,0.3-0.6 mm,0.6-1.2 mm,12-2.4 mm,0.6-1.2 mm
Waste Water Engineering,Sand Filters – 1,What is the head loss found in rapid sand filter?,<3,>3,0,<4,>3
Waste Water Engineering,Sand Filters – 1,What is the surface wash rate?,5-6 cum/sqm h,6-7 cum/sqm h,8-10 cum/sqm h,10-12 cum/sqm h,10-12 cum/sqm h
Waste Water Engineering,Sand Filters – 1,What is the porosity range during expansion of filter bed?,0.4-0.5,0.5-0.6,0.1-0.2,0.68-0.7,0.68-0.7
Waste Water Engineering,Sand Filters – 1,"Even by high-rate of backwash, efficiency of cleaning is poor.",True,False,Null,Null,True
Waste Water Engineering,Sand Filters – 1,What is the air scour rate which is provided before a water backwash?,12 cum/ sqm h,15 cum/ sqm h,20 cum/ sqm h,27 cum/ sqm h,27 cum/ sqm h
Waste Water Engineering,Sand Filters – 1,What is the depth of washing during high-rate water backwash?,3-4 mm,3-6 mm,2-3 mm,1-2 mm,3-6 mm
Waste Water Engineering,Sand Filters – 1,What does sand filter remove?,TDS,TSS,BOD,COD,TSS
Waste Water Engineering,Sand Filters – 1,What is the TSS at the outlet of the Pressure Sand Filter (PSF)?,<10 ppm,25 ppm,100 ppm,>150 ppm,<10 ppm
Waste Water Engineering,Sand Filters – 1,While designing a sand filter what is the velocity that is assumed?,10-12 m/h,15 m/h,20 m/h,30 m/h,10-12 m/h
Waste Water Engineering,Sand Filters – 1,While designing a dual media filter what is the velocity that is assumed?,10-12 m/h,15-18 m/h,20 m/h,30 m/h,15-18 m/h
Waste Water Engineering,Sand Filters – 1,While designing a multimedia filter what is the velocity that is assumed?,10-12 m/h,15-18 m/h,18-20 m/h,30 m/h,18-20 m/h
Waste Water Engineering,Sand Filters – 1,Calculate the diameter of a sand filter with the following data. Flow: 2200 m3/hr Velocity: 12 m/hr ,15.3 m,15.5 m,16.3 m,16.5 m,15.3 m
Waste Water Engineering,Methods for Treatment of Wastewater – 2,What is the method of treatment used when the TSS in the sample is high?,Ultrafiltration,High rate solid contact clarifier,Pressure Sand filter,Activated Carbon filter,High rate solid contact clarifier
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Which type of treatment does clarification fall in?,Secondary treatment,Primary treatment,Preliminary treatment,Tertiary treatment,Primary treatment
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Which of these remove coarse materials?,Coarse screen,Grit chamber,Fine screen,Commutors,Coarse screen
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Which type of treatment is the coarse screen?,Preliminary treatment,Primary treatment,Secondary treatment,Tertiary treatment,Preliminary treatment
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Tube settlers are classified as which type of treatment?,Tertiary treatment,Secondary treatment,Preliminary treatment,Primary treatment,Secondary treatment
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Activated Carbon is classified as which type of treatment?,Preliminary treatment,Primary treatment,Secondary treatment,Tertiary treatment,Tertiary treatment
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Which of these is used to remove odour?,Ultrafiltration,Pressure sand filter,Activated carbon,Nano filter,Activated carbon
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Reverse Osmosis is which type of treatment?,Primary treatment,Preliminary treatment,Secondary treatment,Tertiary treatment,Tertiary treatment
Waste Water Engineering,Methods for Treatment of Wastewater – 2,Which is usually prior to reverse osmosis?,Ultrafiltration,Activated carbon filter,Clarifier,Tube settler,Ultrafiltration
Waste Water Engineering,Methods for Treatment of Wastewater – 2,What does zero discharge actually refer to?,There is zero discharge of ions,The reject is recycled from every part of the treatment plant,The reject is not rejected out. Influent equals effluent,100 percent efficient plant,The reject is recycled from every part of the treatment plant
Waste Water Engineering,Aerobic Ponds,Aerobic ponds are similar to facultative ponds.,True,False,Null,Null,True
Waste Water Engineering,Aerobic Ponds,Natural oxygenation is _______ in aerated ponds while compared to facultative ponds.,More,Less,Equal,Similar,More
Waste Water Engineering,Aerobic Ponds,How many types of aerate ponds are present?,1,2,3,4,2
Waste Water Engineering,Aerobic Ponds,Aerated ponds must be shallow.,True,False,Null,Null,False
Waste Water Engineering,Aerobic Ponds,The increased aeration facilitates ________ pathogen removal.,Decreased,Increases,Slower,Faster,Increases
Waste Water Engineering,Aerobic Ponds,Which of the following is not true regarding mechanical aeration?,Increases oxygen,Enhances efficiency,Reduces HRT,Increases HRT,Increases HRT
Waste Water Engineering,Aerobic Ponds,What is the outlet of TSS in ppm obtained when aerated lagoons are used for treatment?,500-700,100-400,700-900,900-1200,100-400
Waste Water Engineering,Aerobic Ponds,What is the ratio of VSS/TSS in ppm obtained when aerated lagoons are used for treatment?,10-20,20-30,70-80,80-100,70-80
Waste Water Engineering,Aerobic Ponds,What is the ratio of VSS/TSS in ppm obtained when partially mixed lagoons treatment are carried out facultatively?,20-30,40-50,50-80,80-100,50-80
Waste Water Engineering,Aerobic Ponds,While designing the aerated lagoon what is the solid retention time considered?,7-8 days,3-6 days,1-2 days,10 days,3-6 days
Waste Water Engineering,Aerobic Ponds,What is the outlet of TSS in ppm obtained when aerated lagoons are used for treatment?,500,700-1000,50-200,1209,50-200
Waste Water Engineering,Aerobic Ponds,While designing the aerated lagoon with solid recycling what is the solid retention time considered on a warm day?,10-20 days,40 days,25 days,30 days,10-20 days
Waste Water Engineering,Aerobic Ponds,While designing the aerated lagoon carried out facultatively what is the hydraulic retention time considered?,3 days,4-6 days,10-30 days,40 days,4-6 days
Waste Water Engineering,Aerobic Ponds,What is the minimum depth considered while designing an aerated lagoon?,3 m,2.5 m,2 m,1.5 m,2.5 m
Waste Water Engineering,Aerobic Ponds,Which of the following methods consume the least power?,Aerated lagoon,Aerated lagoon carried out facultatively,Aerated lagoon with solid recycling,Upflow anaerobic sludge bed digestor,Aerated lagoon carried out facultatively
Waste Water Engineering,Aerobic Ponds,Which of the following methods consume the most power?,Anaerobic digestion,Aerated lagoon,Aerated lagoon carried out facultatively,Aerated lagoon with solid recycling,Aerated lagoon with solid recycling
Waste Water Engineering,Sanitary Fittings,What is the preferred class of iron pipes?,A,B,C,D,C
Waste Water Engineering,Sanitary Fittings,Cast iron pipes should confirm to IS 1729.,True,False,Null,Null,True
Waste Water Engineering,Sanitary Fittings,What is the maximum specification for water cement ratio?,0.2,0.4,0.6,0.8,0.6
Waste Water Engineering,Sanitary Fittings,The mixing time of concrete prior to placement should not exceed 20 minutes.,True,False,Null,Null,True
Waste Water Engineering,Sanitary Fittings,What is the standard brick size?,70*100*200,75*115*225,75*110*225,75*115*220,75*115*225
Waste Water Engineering,Sanitary Fittings,What is the expected depth tolerance in bricks?,0.5 mm,1.0 mm,1.5 mm,2.0 mm,1.5 mm
Waste Water Engineering,Sanitary Fittings,What is the preferred size of water closet pan?,10”,15”,20”,25”,25”
Waste Water Engineering,Sanitary Fittings,What is the capacity of the preferred low level flushing cistern?,10 litres,15 litres,20 litres,25 litres,15 litres
Waste Water Engineering,Sanitary Fittings,What is the diameter of flush pipe?,30 mm,32 mm,34 mm,36 mm,32 mm
Waste Water Engineering,Sanitary Fittings,What is the size of preferred taps for wash basins?,10 mm,12 mm,14 mm,15 mm,12 mm
Waste Water Engineering,Sanitary Fittings,What is the depth of concrete required for half-round channels for surface drains?,50 mm,75 mm,100 mm,105 mm,75 mm
Waste Water Engineering,Sanitary Fittings,What is the ratio of cement to be used to plaster the drain at the bottom of the camber?,1:1,1:2,2:4,1:3,1:2
Waste Water Engineering,Sanitary Fittings,What is the depth of brick masonry required in inspection chambers?,1 m,1.2 m,1.5 m,1.8 m,1.2 m
Waste Water Engineering,Sanitary Fittings,What is the number of coats of paint required for manhole covers?,1,2,3,4,2
Waste Water Engineering,Sanitary Fittings,What is the quantity of powder required in 1000 litres of water for sterilization?,100 grams,150 grams,200 grams,250 grams,150 grams
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Sludge is composed of liquid components alone.,True,False,Null,Null,False
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",How many types of sludge are present?,1,2,3,4,2
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",_______ is a term used for reuse of sewage sludge.,Solids,Biosolids,Potential solids,Manure,Biosolids
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Biosolids are the inorganic wastewater solids.,True,False,Null,Null,False
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Who introduced the term biosolids?,UNEPA,USEPA,EPA,WEF,WEF
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Which year was the term biosolids introduced?,1990,1993,1995,1998,1998
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Which of the following processes is not used for water reduction?,Centrifugation,Filtration,Heating,Evaporation,Heating
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Sand drying bed is used for filtration.,True,False,Null,Null,True
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",How many products are obtained after dewatering?,1,2,3,4,2
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1","The liquid has high contents of phosphorus and nitrogen, if the sludge has been______",Dewatered,Aerobically digested,Anaerobically digested,Heated,Anaerobically digested
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Sludge treatment reduces the formation of struvite scales in pipes.,True,False,Null,Null,True
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Which of these is not a method of digestion?,Composting,Aerobic digestion,Evaporation,Anaerobic digestion,Evaporation
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Anaerobic digestion is carried out in ____,Presence of oxygen,Presence of carbon-dioxide,Absence of oxygen,Absence of carbon-dioxide,Absence of oxygen
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",What is the temperature to be maintained for thermophilic digestion?,44˚C,55˚C,66˚C,77˚C,55˚C
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",What is the duration of sludge in tanks for mesophilic anaerobic digestion?,10 days,12 days,15 days,18 days,12 days
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Which of the following is not a product of anaerobic digestion?,Water,Oxygen,Carbon dioxide,Methane,Oxygen
Waste Water Engineering,"Sludge Characteristics, Thickening and Concentration – 1",Which of the following is an advantage of anaerobic digestion?,Capital cost,Time,Methane generation,Space,Methane generation
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,What is the size of ionic particles present in wastewater?,< 0.1 micron,0.01 micron,0.001 micron,0.0001 micron,0.001 micron
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,The smallest particle size requiring removal from the fluid stream is called ______,Reduction,Filtration degree,Removal degree,Fluidization,Filtration degree
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,The total area of filter is called effective filter media.,True,False,Null,Null,False
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,The elements that cause a filter to loose hydraulic capacity are referred to as ______,Hydraulic factors,Clogging factors,Draining factors,Filter factors,Clogging factors
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,Straining refers to the removal of smaller particles from a fluid.,True,False,Null,Null,False
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,________ is used to limit the cleaning of the screen.,Screening devices,Suction scanner,Alarm systems,Range systems,Suction scanner
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,The air is dissolved in water or wastewater by natural means.,True,False,Null,Null,False
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,The suspended particles sink to the bottom during the process.,True,False,Null,Null,False
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,Which of the following is not a coagulant?,Ferric chloride,Aluminium sulphate,Aluminium phosphate,Sulphuric acid,Sulphuric acid
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,What does DAF stand for?,Dissolved aerobic floatation,Dissolved air floatation,Dissolved air filtration,Deoxygenated anaerobic floatation,Dissolved air floatation
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,How much time does the circular DAF need to complete the process?,2 minutes,3 minutes,4 minutes,5 minutes,3 minutes
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,How many types of DAF are present?,2,3,4,5,2
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,________ is called ‘zero speed’.,Circular DAF,Rectangular DAF,DAF,Pressure vessel,Circular DAF
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,What is the rotation time of the top bridge of DAF?,1 minute,2 minutes,3 minutes,4 minutes,3 minutes
Waste Water Engineering,Suspended Solids Removal & Dissolved Air Floatation – 1,What is the tank water depth?,10”,15”,18”,22”,18”
Waste Water Engineering,Pumps & Pumping Stations – 1,"An apparatus for raising, driving or compressing fluids or gases is called _________",Piston,Pump,Compressor,Force drive,Pump
Waste Water Engineering,Pumps & Pumping Stations – 1,________ pumps produce a head and a flow by increasing the velocity of the liquid with the help of the rotating vane impeller.,Displacement pumps,Positive pumps,Centrifugal pumps,Rotating pumps,Centrifugal pumps
Waste Water Engineering,Pumps & Pumping Stations – 1,What are the pumps that operate by alternately filling a cavity and then displacing a given volume of liquid called?,Centrifugal pump,Rotating pump,Positive displacement pump,Roto-dynamic pump,Positive displacement pump
Waste Water Engineering,Pumps & Pumping Stations – 1,The two types of pumps behave very differently regarding pressure head and flow rate.,True,False,Null,Null,True
Waste Water Engineering,Pumps & Pumping Stations – 1,A steam pump is a type of centrifugal pump.,True,False,Null,Null,False
Waste Water Engineering,Pumps & Pumping Stations – 1,"In a centrifugal pump, the flow is _______ when the viscosity is increased.",Reduced,Increased,Greater,Same,Reduced
Waste Water Engineering,Pumps & Pumping Stations – 1,What are the pumps with one or more impellers called?,ANSI process pumps,API process pumps,Centrifugal pumps,Positive displacement pumps,Centrifugal pumps
Waste Water Engineering,Pumps & Pumping Stations – 1,Why are booster pumps used?,Higher flow,Boost pressure,Chop solids,Maintain flow,Boost pressure
Waste Water Engineering,Pumps & Pumping Stations – 1,Why are cryogenic pumps used?,Boost pressure,Handle low temperature liquids,Handle high temperature liquids,Pump small quantities of liquids,Handle low temperature liquids
Waste Water Engineering,Pumps & Pumping Stations – 1,End suction pumps are the common type of _________ pumps.,Drum pumps,Centrifugal pumps,Positive displacement pumps,Grinder pumps,Centrifugal pumps
Waste Water Engineering,Pumps & Pumping Stations – 1,Which pump among the ones mentioned below can be located above the suction reservoir without an external priming system?,Slurry pumps,Self-priming pumps,Submersible pumps,Trash pumps,Self-priming pumps
Waste Water Engineering,Pumps & Pumping Stations – 1,Which type of pump is designed to handle rocks and other solids?,Trash pumps,Submersible pumps,Slurry pumps,Self-priming pumps,Trash pumps
Waste Water Engineering,Pumps & Pumping Stations – 1,   Which type of pump should be used in order to handle low viscosity fluids?,Centrifugal Pump,Displacement Pump,Submersible Pump,End Suction Pump,Centrifugal Pump
Waste Water Engineering,Pumps & Pumping Stations – 1,Which type of pump should be selected in order to pump the sewage from a septic tank to the water treatment system?,Vertical Sump Pump,Progressive Cavity Pump,Submersible Pump,Screw Pump,Submersible Pump
Waste Water Engineering,Pumps & Pumping Stations – 1,In an activated sludge process which type of pump is used to recirculate the sludge?,Booster Pump,Centrifugal Pump,Vane Pump,Vertical Turbine Pump,Centrifugal Pump
Waste Water Engineering,Pumps & Pumping Stations – 1,Which type of pump is used while handling the sludge disposal system?,Screw Pump,Multistage Pump,Self-priming Pump,Vertical Pump,Screw Pump
Waste Water Engineering,High Rate Filtration,High rate filtrations cannot be used for wet weather conditions.,True,False,Null,Null,True
Waste Water Engineering,High Rate Filtration,What is the filter media made of?,Cotton,Synthetic fibre,Geotextiles,Plastic,Synthetic fibre
Waste Water Engineering,High Rate Filtration,Filter cycle is interrupted for ______,Air washing,Back washing,Adding influent,Removing effluent,Air washing
Waste Water Engineering,High Rate Filtration,________ is shifted to keep an ample space for filtering media to rotate.,Drain,Movable plate,Perforated plate,Cylinder,Movable plate
Waste Water Engineering,High Rate Filtration,What is the void ratio of filter media?,60-65 %,65-70 %,75-80 %,80-85 %,80-85 %
Waste Water Engineering,High Rate Filtration,The synthetic fibres used are temperature resistant.,True,False,Null,Null,True
Waste Water Engineering,High Rate Filtration,Which of the following is not true in case of closing the top of the vessel?,Keeps out sunlight,Limits algal growth,Restricts bug access,Eliminates odour,Eliminates odour
Waste Water Engineering,High Rate Filtration,"As the compression increases, the porosity in filter bed _____",Increases,Decreases,Remains constant,Alters,Decreases
